feature,semantic_status,python_side_evidence,java_side,note,ssh_residual_ks_after,ssh_outside_p01_p99_after,portscan_residual_ks_after
Destination Port,UNRESOLVED,not individually audited,"documented, not locally verifiable",,,0.0,0.18107112496457922
Protocol,UNRESOLVED,not individually audited,"documented, not locally verifiable",,,0.0,6.297030949907119e-05
Flow Duration,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.7151248164464024
Total Fwd Packets,LIKELY_EQUIVALENT,python counts packets per direction; equivalent up to flow-segmentation differences,"documented, not locally verifiable",,0.4822033898305085,0.0,0.9911526715153804
Total Backward Packets,LIKELY_EQUIVALENT,python counts packets per direction; equivalent up to flow-segmentation differences,"documented, not locally verifiable",,0.5169491525423728,0.0,0.7147155094346584
Total Length of Fwd Packets,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.9997796039167532
Total Length of Bwd Packets,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,0.9983050847457627,100.0,0.7117873900429516
Fwd Packet Length Max,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.9995906929882561
Fwd Packet Length Min,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,1.0
Fwd Packet Length Mean,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,1.0
Fwd Packet Length Std,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.003746733415194714
Bwd Packet Length Max,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.7117873900429516
Bwd Packet Length Min,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,,100.0,0.7107798650909665
Bwd Packet Length Mean,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.7117873900429516
Bwd Packet Length Std,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,0.9983050847457627,100.0,0.0010075249519850837
Flow Bytes/s,IMPLEMENTATION_DIFFERENCE,python bytes/second numerator uses len(packet) full-frame bytes,"documented, not locally verifiable","per-second in both, but byte basis inherits the len(packet) difference",0.9949152542372881,100.0,0.7118818455072002
Flow Packets/s,LIKELY_EQUIVALENT,python packets/second = total/duration_seconds; per-second in both tools,"documented, not locally verifiable",,0.5177966101694915,0.0,0.9903970278013916
Flow IAT Mean,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.7151248164464024
Flow IAT Std,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.2760278550689781
Flow IAT Max,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.48050847457627116,0.0,0.7151248164464024
Flow IAT Min,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",all-zero in laboratory captures; unit applies but unverifiable from lab data,1.0,100.0,0.9999685148452505
Fwd IAT Total,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.003707827750405124
Fwd IAT Mean,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.003707827750405124
